Town,FIPS,Year,Age Range,Allegation Type,Report Status,Measure Type,Variable,Value
Ridgefield,0900163970,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,5.76
Ridgefield,0900163970,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2010,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,8.47
Ridgefield,0900163970,2009,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,4.74
Ridgefield,0900163970,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,2
Ridgefield,0900163970,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2009,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,6.1
Ridgefield,0900163970,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,10
Ridgefield,0900163970,2013,9 to 17,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,11
Ridgefield,0900163970,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,0
Ridgefield,0900163970,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Ridgefield,0900163970,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,39
Ridgefield,0900163970,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,3
Ridgefield,0900163970,2011,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,10
Ridgefield,0900163970,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2008,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,34
Ridgefield,0900163970,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,2
Ridgefield,0900163970,2011,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,5.42
Ridgefield,0900163970,2009,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,4.41
Ridgefield,0900163970,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,8
Ridgefield,0900163970,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Ridgefield,0900163970,2009,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,13
Ridgefield,0900163970,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,1
Ridgefield,0900163970,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,1
Ridgefield,0900163970,2013,0 to 8,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,1
Ridgefield,0900163970,2010,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,5.42
Ridgefield,0900163970,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2010,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,30
Ridgefield,0900163970,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Ridgefield,0900163970,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,20
Ridgefield,0900163970,2010,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,25
Ridgefield,0900163970,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,3
Ridgefield,0900163970,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Ridgefield,0900163970,2011,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,10.5
Ridgefield,0900163970,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,15.25
Ridgefield,0900163970,2010,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,13
Ridgefield,0900163970,2008,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,33
Ridgefield,0900163970,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,17
Riverside,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Riverside,0NA,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Riverside,0NA,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,1
Riverside,0NA,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Riverside,0NA,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,4
Riverside,0NA,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
Riverside,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Riverside,0NA,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Riverside,0NA,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,1
Riverside,0NA,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Riverside,0NA,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,4
Riverside,0NA,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
Riverside,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,13
Riverside,0NA,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,2
Riverside,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,2
Riverside,0NA,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,2
Riverside,0NA,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Riverside,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,2
Rockville,0NA,2013,0 to 8,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,0 to 8,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,2
Rockville,0NA,2013,0 to 8,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Rockville,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,1
Rockville,0NA,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,11
Rockville,0NA,2013,0 to 8,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,2
Rockville,0NA,2013,9 to 17,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Rockville,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,1
Rockville,0NA,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,11
Rockville,0NA,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,9 to 17,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,24
Rockville,0NA,2013,9 to 17,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,9 to 17,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,0
Rockville,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,9 to 17,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,6
Rockville,0NA,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,24
Rockville,0NA,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,24
Rockville,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rockville,0NA,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,6
Rocky Hill,0900365370,2010,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,6.91
Rocky Hill,0900365370,2011,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,19
Rocky Hill,0900365370,2010,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,10
Rocky Hill,0900365370,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,18
Rocky Hill,0900365370,2011,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,13.82
Rocky Hill,0900365370,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,9
Rocky Hill,0900365370,2008,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,12
Rocky Hill,0900365370,2011,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,10.37
Rocky Hill,0900365370,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,34
Rocky Hill,0900365370,2013,9 to 17,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,18
Rocky Hill,0900365370,2010,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,32
Rocky Hill,0900365370,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,11.52
Rocky Hill,0900365370,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2010,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,48
Rocky Hill,0900365370,2010,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,5.76
Rocky Hill,0900365370,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,0
Rocky Hill,0900365370,2011,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,24
Rocky Hill,0900365370,2008,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,12
Rocky Hill,0900365370,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Rocky Hill,0900365370,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,6
Rocky Hill,0900365370,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,5.76
Rocky Hill,0900365370,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2011,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,18
Rocky Hill,0900365370,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,9
Rocky Hill,0900365370,2012,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,7.49
Rocky Hill,0900365370,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,7
Rocky Hill,0900365370,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2011,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,8.06
Rocky Hill,0900365370,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,5
Rocky Hill,0900365370,2011,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,24
Rocky Hill,0900365370,2008,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,6.91
Rocky Hill,0900365370,2010,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,20
Rocky Hill,0900365370,2009,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,7.49
Rocky Hill,0900365370,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,17.86
Rocky Hill,0900365370,2011,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,10.94
Rocky Hill,0900365370,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,13.25
Rocky Hill,0900365370,2010,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,18.43
Rocky Hill,0900365370,2013,0 to 8,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,0
Rocky Hill,0900365370,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,10
Rocky Hill,0900365370,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,7
Rocky Hill,0900365370,2011,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,36
Rocky Hill,0900365370,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Rocky Hill,0900365370,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,6.91
Rocky Hill,0900365370,2009,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,6.91
Rocky Hill,0900365370,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,27.07
Rocky Hill,0900365370,2010,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,11.52
Rocky Hill,0900365370,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,5
Rocky Hill,0900365370,2011,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,15
Rocky Hill,0900365370,2011,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,13.82
Rocky Hill,0900365370,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2009,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,27
Rocky Hill,0900365370,2008,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,20
Rocky Hill,0900365370,2010,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,6.34
Rocky Hill,0900365370,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,6
Rocky Hill,0900365370,2013,9 to 17,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Rocky Hill,0900365370,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,24
Rocky Hill,0900365370,2009,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,13
Rocky Hill,0900365370,2009,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,19.59
Rocky Hill,0900365370,2010,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,27.65
Rocky Hill,0900365370,2010,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,12
Rocky Hill,0900365370,2010,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,11
Rocky Hill,0900365370,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,11
Rocky Hill,0900365370,2009,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,47
Rocky Hill,0900365370,2008,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,23
Rocky Hill,0900365370,2008,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,6.91
Rocky Hill,0900365370,2011,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,20.74
Rocky Hill,0900365370,2013,9 to 17,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Rocky Hill,0900365370,2009,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,15.55
Rocky Hill,0900365370,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,52
Rocky Hill,0900365370,2009,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,12
Rocky Hill,0900365370,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Rocky Hill,0900365370,2011,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,14
Rocky Hill,0900365370,2011,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,8.64
Rocky Hill,0900365370,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,13
Rocky Hill,0900365370,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,29.95
Rocky Hill,0900365370,2008,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,12
Rocky Hill,0900365370,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,31
Roxbury,0900565930,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,0
Roxbury,0900565930,2011,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,0
Roxbury,0900565930,2009,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,0
Roxbury,0900565930,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,0
Roxbury,0900565930,2012,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,0
Roxbury,0900565930,2009,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,0
Roxbury,0900565930,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,0
Roxbury,0900565930,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,0
Roxbury,0900565930,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,0
Roxbury,0900565930,2011,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,0
Salem,0901166210,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,2
Salem,0901166210,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
Salem,0901166210,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Salem,0901166210,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Salem,0901166210,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,2
Salem,0901166210,2013,0 to 8,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Salem,0901166210,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,1
Salem,0901166210,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,28.1
Salem,0901166210,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Salem,0901166210,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Salem,0901166210,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,30.44
Salem,0901166210,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Salem,0901166210,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Salem,0901166210,2013,9 to 17,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Salem,0901166210,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,1
Salem,0901166210,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
Salem,0901166210,2010,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,11
Salem,0901166210,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Salem,0901166210,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2008,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,16
Salem,0901166210,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2009,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,12
Salem,0901166210,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,37.47
Salem,0901166210,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Salem,0901166210,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,23.42
Salem,0901166210,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2008,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,13
Salem,0901166210,2010,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,25.76
Salem,0901166210,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Salem,0901166210,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,10
Salisbury,0900566420,2013,9 to 17,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,0
Salisbury,0900566420,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,0
Salisbury,0900566420,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Salisbury,0900566420,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Salisbury,0900566420,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Salisbury,0900566420,2011,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,0
Salisbury,0900566420,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Salisbury,0900566420,2012,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,0
Salisbury,0900566420,2013,9 to 17,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,3
Salisbury,0900566420,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Salisbury,0900566420,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Salisbury,0900566420,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,-9999
Salisbury,0900566420,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Salisbury,0900566420,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,3
Salisbury,0900566420,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Salisbury,0900566420,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,0
Salisbury,0900566420,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Salisbury,0900566420,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,0
Salisbury,0900566420,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,6
